id;context;question;answer
11;En relación con los estándares de conducta en los mercados, a raíz de la entrada en vigor del Reglamento (UE) Nº 596/2014 del Parlamento Europeo y del Consejo sobre el abuso de mercado y su normativa de desarrollo, se han elevado los estándares de integridad en los mismos y se han reforzado las unidades de compliance dedicadas a estas cuestiones.;¿Qué ha supuesto la entrada en vigor del Reglamento europeo sobre el abuso de mercado?;se han elevado los estándares de integridad en los mismos y se han reforzado las unidades de compliance dedicadas a estas cuestiones
12;La metodología de valoración utilizada en el análisis ha sido la del descuento de beneficios netos distribuibles futuros asociados a la actividad desarrollada por el banco para un período de proyección de 5 años (hasta 2021). Se considera que en 2021, el banco habrá conseguido una generación de resultados recurrente, por lo que tomando como referencia ese año, se calcula el valor terminal, utilizando una tasa de crecimiento a perpetuidad del 2%.;¿Qué implicaciones tiene considerar que en 2021, el banco habrá conseguido una generación de resultados recurrente?;tomando como referencia ese año, se calcula el valor terminal, utilizando una tasa de crecimiento a perpetuidad del 2%
13;Si observamos los segmentos desde un punto de vista individual, el segmento transient (individual) creció notablemente tanto en tarifas públicas, como corporativas, mientras que los grupos mejoraron frente al mismo periodo del año anterior como consecuencia de la recuperación mostrada por algunas cuentas corporativas, las cuales se beneficiaron del anteriormente mencionado incremento en el número de conciertos y ferias comerciales.;¿De qué es efecto que el segmento transient (individual) haya crecido notablemente tanto en tarifas públicas como corporativas, mientras que los grupos mejorasen frente al mismo periodo del año anterior?;de la recuperación mostrada por algunas cuentas corporativas, las cuales se beneficiaron del anteriormente mencionado incremento en el número de conciertos y ferias comerciales
14;En relación con la actividad de gestión de fondos de pensiones de Mediterráneo Vida, la entidad ha llegado a gestionar fondos por valor de 57,0 millones de euros en 2015, todos ellos planes de pensiones de empleo debido a que la totalidad de los planes de pensiones individuales y asociativos por importe de 280 millones de euros fueron traspasados a Bansabadell Pensiones como parte de los acuerdos alcanzados el año anterior con Zurich.;¿A qué se debe que la entidad Mediterránea Vida haya llegado a gestionar fondos de pensiones de empleo por valor de 57 millones de euros en 2015?;a que la totalidad de los planes de pensiones individuales y asociativos por importe de 280 millones de euros fueron traspasados a Bansabadell Pensiones como parte de los acuerdos alcanzados el año anterior con Zurich
15;Latinoamérica, Europa y Japón. La única excepción es el Reino Unido, donde se prevé un crecimiento más bajo a corto plazo debido a la incertidumbre en torno al Brexit, aunque hasta ahora este hecho apenas ha afectado a nuestro negocio.;¿La incertidumbre en torno al Brexit qué ha generado?;La única excepción es el Reino Unido, donde se prevé un crecimiento más bajo a corto plazo
16;El nuevo mecanismo competitivo de asignación del servicio de interrumpibilidad entró en funcionamiento en enero de 2015, por lo que en noviembre y diciembre de 2014 se realizaron dos subastas competitivas gestionadas por el Operador del Sistema en las que se asignaron los requerimientos de potencia interrumpible necesarias para 2015 a los consumidores habilitados para la prestación del servicio.;¿Qué efecto había tenido unos meses antes la entrada en funcionamiento en enero de 2015 del nuevo mecanismo competitivo de asignación del servicio de interrumpibilidad?;en noviembre y diciembre de 2014 se realizaron dos subastas competitivas gestionadas por el Operador del Sistema en las que se asignaron los requerimientos de potencia interrumpible necesarias para 2015 a los consumidores habilitados para la prestación del servicio
17;Los gastos de handling, catering y otros gastos de explotación aumentaron un 6,5% excluyendo los efectos cambiarios. Los gastos crecieron a raíz del aumento de los volúmenes en el negocio de carga y el mayor número de compras de productos en BA Holidays y de canje de productos en Avios, con el correspondiente incremento de los ingresos. Este crecimiento también se debe a las mayores indemnizaciones y reclamaciones por pérdidas de equipaje relacionadas con las interrupciones del servicio sufridas por British Airways. Además, el Grupo transportó un 4,1% más de pasajeros durante el año.;¿Qué efecto tuvo el aumento de los volúmenes en el negocio de carga y el mayor número de compras de productos en BA Holidays y de canje de productos en Avios?;Los gastos crecieron
18;En 2017 las ventas han aumentado un 4,3% como consecuencia de una ligera recuperación de la situación general económica y también del sector de la construcción.;¿Qué provocó que en 2017 las ventas hayan aumentado un 4,3%?;una ligera recuperación de la situación general económica y también del sector de la construcción
19;Risk Reporting Framework (RRF) En los últimos ejercicios, el Grupo ha desarrollado e implantado las mejoras estructurales y operativas necesarias para reforzar y consolidar la visión integral de los riesgos, basada en información completa, precisa y recurrente, permitiendo a la alta dirección del Grupo valorar y decidir en consecuencia.;¿Por qué razón ha podido la alta dirección del Grupo valorar y decidir en consecuencia?;En los últimos ejercicios, el Grupo ha desarrollado e implantado las mejoras estructurales y operativas necesarias para reforzar y consolidar la visión integral de los riesgos, basada en información completa, precisa y recurrente
20;Las provisiones fueron inferiores respecto el año anterior, en concreto las provisiones por los préstamos personales sin garantía se redujeron en parte debido a la evolución favorable de la economía, una mejora de la calidad de los activos y el hecho de que en el 2014 se hicieron varios cargos extraordinarios por este concepto.;¿Qué hizo que las provisiones fueran inferiores respecto el año anterior y que, en concreto, las provisiones por los préstamos personales sin garantía se redujeran;la evolución favorable de la economía, una mejora de la calidad de los activos y el hecho de que en el 2014 se hicieron varios cargos extraordinarios por este concepto
21;Con productos y soluciones que llegan a más de 300 millones de clientes, empresas y administraciones públicas, tenemos el compromiso de garantizar que, además de desarrollar nuestra actividad siguiendo criterios de alta calidad, nuestros servicios tengan un impacto beneficioso para el conjunto de la sociedad. Somos conscientes del potencial de la innovación para conseguir este propósito, y por ello seguimos apostando por la innovación asegurando que nuestras inversiones tienen un valor positivo real en la sociedad y nuestro entorno.;¿Cuál es la causa de que sigan apostando por la innovación asegurando que sus inversiones tienen un valor positivo real en la sociedad y su entorno?;Somos conscientes del potencial de la innovación para conseguir este propósito
22;En los primeros meses de 2015 continuaron las acciones para la atracción de talento que se venían realizando. A partir del segundo trimestre, y debido al plan de reestructuración de plantilla, se discontinuarán las acciones de captación en los países afectados.;¿A qué se debe que se vayan a discontinuar las acciones de captación en los países afectados?;al plan de reestructuración de plantilla
23;Gestión de riesgos operativos y protección del cliente La medidas de seguridad en BBVA se han reforzado en el 2017 como consecuencia del incremento de las ciberamenazas y de la actividad cibercriminal en general.;¿A raíz de qué se han reforzado las medidas de seguridad en BBVA?;del incremento de las ciberamenazas y de la actividad cibercriminal en general
24;Como resultado de la definición de los modelos de negocio para la gestión de los activos, se reclasificará un 0,2% sobre el total del saldo bajo NIC 39 a valor razonable con cambios en el resultado global. En general, los instrumentos de deuda clasificados como activos financieros disponibles para la venta se contabilizarán a valor razonable con cambios en el resultado global.;¿Qué resultado tendrá la definición de los modelos de negocio para la gestión de los activos?;se reclasificará un 0,2% sobre el total del saldo bajo NIC 39 a valor razonable con cambios en el resultado global
25;A raíz de la alianza, Atresmedia difundió CINERGÍA, el novedoso proyecto de la compañía energética que une cine y energía a través de la producción de cuatro cortometrajes firmados por directores de gran prestigio, además de otras acciones de comunicación.;¿Qué efecto ha desencadenado la alianza?;Atresmedia difundió CINERGÍA, el novedoso proyecto de la compañía energética que une cine y energía a través de la producción de cuatro cortometrajes firmados por directores de gran prestigio, además de otras acciones de comunicación
26;Por último, las dotaciones caen un 12% gracias al cambio de mix de la cartera y a la reducción de volúmenes de Santander Consumer USA.;¿A qué se debe el hecho de que las dotaciones caigan un 12%?;al cambio de mix de la cartera y a la reducción de volúmenes de Santander Consumer USA
27;El 23 de julio fueron admitidas a negociación en las Bolsas de Valores de Madrid y Barcelona 4.555.963 acciones nuevas de Acerinox, S.A. emitidas como consecuencia de la ejecución del aumento de capital liberado acordado en la Junta General Ordinaria de accionistas, celebrada el 10 de junio de 2014, para instrumentar un sistema de dividendo flexible (scrip dividend).;¿Por qué fueron admitidas a negociación en las Bolsas de Madrid y Barcelona acciones nuevas de Acerinox?;consecuencia de la ejecución del aumento de capital liberado acordado en la Junta General Ordinaria de accionistas, celebrada el 10 de junio de 2014, para instrumentar un sistema de dividendo flexible (scrip dividend)
28;La Ley 18/2014, publicada el 17 de octubre, estableció determinados principios y regulaciones dirigidos principalmente a garantizar la sostenibilidad económica y financiera del sistema gasista: Se establece el principio de sostenibilidad económica y financiera del sistema gasista, en virtud del cual, cualquier medida normativa en relación con el sector que suponga un incremento de coste para el sistema gasista o una reducción de ingresos deberá incorporar una reducción equivalente de otras partidas de costes o un incremento equivalente de ingresos que asegure el equilibrio del sistema.;¿Qué hecho permite explicar que cualquier medida normativa en relación con el sector que suponga un incremento de coste para el sistema gasista o una reducción de ingresos deberá incorporar una reducción equivalente de otras partidas de costes o un incremento equivalente de ingresos que asegure el equilibrio del sistema?;Se establece el principio de sostenibilidad económica y financiera del sistema gasista
29;España Implantadas desde abril de 2014 la nueva metodología de facturación del Precio voluntario para el pequeño consumidor basado en los precios del mercado diario y, desde octubre, el nuevo modelo de factura regulado. En 2015 se prorroga el servicio de disponibilidad vigente mientras se desarrolla el Real Decreto que modificará los pagos por capacidad durante el año. Concretada la retribución de las instalaciones de cogeneración y residuos que aplica con motivo de la aprobación del RDL 9/2013.;¿Con qué motivo aplica la retribución de las instalaciones de cogeneración y residuos?;la aprobación del RDL 9/2013
30;Como consecuencia del análisis de las características de los flujos contractuales de los instrumentos financieros, se reclasificará un 0,2% sobre el total del saldo bajo NIC 39 a valor razonable con cambio en el resultado del periodo.;¿Qué provoca el análisis de las características de los flujos contractuales de los instrumentos financieros?;se reclasificará un 0,2% sobre el total del saldo bajo NIC 39 a valor razonable con cambio en el resultado del periodo
31;Nuestra base de costes nos permite competir eficientemente y por eso estamos convencidos de que podemos hacerlo si las condiciones son adecuadas. Crecer y continuar mejorando la rentabilidad es un gran desafío, pero estamos convencidos de que la Fase 2 del Plan de Futuro nos ha proporcionado las bases para el éxito.;¿Qué implica que su base de costes les permita competir eficientemente?;estamos convencidos de que podemos hacerlo si las condiciones son adecuadas
32;Crecer como empresa, crecer como profesionales Los conocimientos de nuestros empleados representan una ventaja competitiva de gran importancia para Applus+, por lo que se fomenta el desarrollo de sus habilidades mediante la formación y el aprendizaje continuos.;¿Por qué se fomenta el desarrollo de sus habilidades mediante la formación y el aprendizaje continuos?;Los conocimientos de nuestros empleados representan una ventaja competitiva de gran importancia para Applus+
33;La campaña Primavera-Verano viene influenciada por el desempeño durante la Semana Santa, debido al importante volumen de ventas que tienen lugar alrededor de dicho período.;¿A qué se debe que la campaña Primavera-Verano venga influenciada por el desempeño durante la Semana Santa?;al importante volumen de ventas que tienen lugar alrededor de dicho período
34;otro de los países donde hemos elaborado programas concretos sobre migración es China, debido al elevado flujo de migración interna.;¿A qué se debe que también hayan elaborado programas concretos sobre migración en China?;al elevado flujo de migración interna
35;En el ejercicio de sus funciones, el Comité de Ética garantizará: −La confidencialidad de todos los datos y antecedentes manejados y de las actuaciones llevadas a cabo, salvo que por ley o requerimiento judicial proceda la remisión de información. −El análisis exhaustivo de cualquier dato, información o documento en base a los cuales se promueva su actuación. − La instrucción de un procedimiento adecuado a las circunstancias del caso, en el que se actuará siempre on independencia y pleno respeto del derecho de audiencia y de la presunción de inocencia de cualquier persona afectada. − La indemnidad de cualquier denunciante como consecuencia de la presentación de instancias o denuncias de buena fe al Comité.;¿Qué consecuencias tendrá la presentación de instancias o denuncias de buena fe al Comité?;La indemnidad de cualquier denunciante
36;Como consecuencia del proceso de asignación, se ha procedido a contabilizar una revalorización de activos intangibles que corresponde al valor de las autorizaciones necesarias para la explotación de los parques eólicos y un reconocimiento de pasivos por impuestos diferidos correspondientes a las revalorizaciones que no tienen efecto fiscal.;¿Qué efectos ha tenido el proceso de asignación?;se ha procedido a contabilizar una revalorización de activos intangibles que corresponde al valor de las autorizaciones necesarias para la explotación de los parques eólicos y un reconocimiento de pasivos por impuestos diferidos correspondientes a las revalorizaciones que no tienen efecto fiscal
37;Este crecimiento es aún más destacable por cuanto que se suma a los grandes incrementos de ventas que Zardoya OTIS consiguió ya en años anteriores.;¿Por qué razón es aún más destacable este crecimiento?;se suma a los grandes incrementos de ventas que Zardoya OTIS consiguió ya en años anteriores
38;"Gracias a esta iniciativa Cáritas recibió diversas aportaciones para destinarlas a ayudas a sus solicitantes y promocionar campañas como ""Ningún niño sin juguetes"".";¿Qué efectos tuvo esta iniciativa?;"Cáritas recibió diversas aportaciones para destinarlas a ayudas a sus solicitantes y promocionar campañas como ""Ningún niño sin juguetes"""
39;En 2017 continuó mejorando el mercado de la vivienda y la situación financiera de los hogares gracias al buen cuadro macroeconómico y en particular a la evolución del empleo.;¿Gracias a qué continuó mejorando en 2017 el mercado de la vivienda y la situación financiera de los hogares?;al buen cuadro macroeconómico y en particular a la evolución del empleo
40;Del mismo modo, y como resultado de las investigaciones del CADE, se ha abierto un procedimiento administrativo por el Tribunal de Cuentas en relación al cual la sociedad dependiente presentó su defensa preliminar durante el primer semestre del 2016.;¿El resultado de las investigaciones del CADE qué implica?;se ha abierto un procedimiento administrativo por el Tribunal de Cuentas en relación al cual la sociedad dependiente presentó su defensa preliminar durante el primer semestre del 2016
41;Ofrece a los usuarios una imagen tridimensional del objeto que se inspecciona, con lo que se ofrece una visión clara acerca del alcance y naturaleza de los posibles defectos.;¿Por qué es posible ofrecer una visión clara acerca del alcance y naturaleza de los posibles defectos?;Ofrece a los usuarios una imagen tridimensional del objeto que se inspecciona
42;El Grupo está expuesto a riesgos fiscales sistémicos como consecuencia de cambios en la legislación fiscal o cuando las autoridades fiscales cuestionan la interpretación de dicha legislación. Existe un riesgo reputacional si los medios de comunicación u otro órgano representativo cuestionan los asuntos fiscales del Grupo.;¿De qué es culpa que el Grupo esté expuesto a riesgos fiscales sistémicos?;de cambios en la legislación fiscal o cuando las autoridades fiscales cuestionan la interpretación de dicha legislación
43;• Creemos en el derecho a la privacidad y al tratamiento legal de datos de los clientes, por lo que todas nuestras prácticas de comunicación (offline y digital) se acogen a la legislación en esta materia.;¿Por qué todas sus prácticas de comunicación (offline y digital) se acogen a la legislación en esta materia?;Creemos en el derecho a la privacidad y al tratamiento legal de datos de los clientes
44;Las startups tienen modelos de desarrollo y financiación diferentes a las empresas tradicionales, por ello les ofrecemos atención en 50 oficinas especializadas en toda España, con gestores que comprenden mejor su funcionamiento y sus necesidades, ofreciéndoles productos específicos y un circuito de riesgos especial.;¿Por qué razón les ofrecen atención en 50 oficinas especializadas en toda España, con gestores que comprenden mejor su funcionamiento y sus necesidades, con productos específicos y un circuito de riesgos especial?;Las startups tienen modelos de desarrollo y financiación diferentes a las empresas tradicionales
45;Para que la estrategia sea viable, los programas deben tener en cuenta la realidad sociocultural donde viven y trabajan las mujeres, y, es por ello, que desarrollamos acciones concretas en los países donde operamos.;¿Por qué desarrollan acciones concretas en los países donde operan?;los programas deben tener en cuenta la realidad sociocultural donde viven y trabajan las mujeres
46;Así, Bankia cerró el ejercicio 2018 con un elevado descenso de los riesgos dudosos del 31% (3.702 millones de euros) lo que permitió reducir la tasa de morosidad al 6,5%.;¿Por qué se pudo reducir la tasa de morosidad al 6,5%?;Bankia cerró el ejercicio 2018 con un elevado descenso de los riesgos dudosos del 31% (3.702 millones de euros)
47;Gracias a esta acción de colaboración ciudadana, Atresmedia donó al Centro Nacional de Investigaciones oncológicas (CNIO) 100.000 euros.;¿A qué se debe que Atresmedia donara al Centro Nacional de Investigaciones oncológicas (CNIO) 100.000 euros?;a esta acción de colaboración ciudadana
48;En cuanto a las divisas, la política del banco consistió en cubrir todas las posiciones estructurales, gracias a lo cual la cuenta de resultados de Bankinter no se vio afectada por las fluctuaciones de las principales monedas durante 2017.;¿Cuál es la consecuencia de que la política del banco consistiera en cubrir todas las posiciones estructurales?;la cuenta de resultados de Bankinter no se vio afectada por las fluctuaciones de las principales monedas durante 2017
49;Como resultado de esa experiencia, Sasso ha lanzado un exitoso test en Arabia Saudí.;¿Qué efecto ha tenido esa experiencia?;Sasso ha lanzado un exitoso test en Arabia Saudí
50;El buen comportamiento de los mercados sitúa al Banco en una fase cada vez más avanzada del ciclo de inversión, por lo que las rentabilidades esperadas se reducen de forma paulatina.;¿Por qué las rentabilidades esperadas se reducen de forma paulatina?;El buen comportamiento de los mercados sitúa al Banco en una fase cada vez más avanzada del ciclo de inversión
51;Los grandes fabricantes siguen apostando por España debido a la alta cualificación de los trabajadores, a la reducción de los costes y a la modernidad y robotización de las fábricas. En 2015 se ensamblaron en las 17 plantas productivas que las multinacionales tienen instaladas en España 2,7 millones de vehículos, un 13,2% más que en 2014. Esta cifra situó a España en octavo puesto mundial de fabricantes de vehículos, por encima de Brasil (2,3 millones de vehículos).;¿Por qué lo grandes fabricantes siguen apostando por España?;a la alta cualificación de los trabajadores, a la reducción de los costes y a la modernidad y robotización de las fábricas
52;Además, en la red comercial de BBVA en España se fomenta la integración laboral de personas con síndrome de down, gracias a acuerdos entre las distintas direcciones territoriales y asociaciones de atención a este colectivo.;¿A qué se atribuye el fomento de la integración laboral de personas con síndrome de down en la red comercial española de BBVA?;a acuerdos entre las distintas direcciones territoriales y asociaciones de atención a este colectivo
53;Como consecuencia de la aplicación de la NIIF 5, se presenta en la cuenta de resultados consolidada el resultado procedente de las operaciones interrumpidas en una única línea separada del resto y se presenta del mismo modo la información comparativa del periodo anterior re-expresada, sin impacto alguno en el resultado neto.;¿Qué consecuencias tiene la aplicación de la NIIF 5?;se presenta en la cuenta de resultados consolidada el resultado procedente de las operaciones interrumpidas en una única línea separada del resto y se presenta del mismo modo la información comparativa del periodo anterior re-expresada, sin impacto alguno en el resultado neto
54;En concreto, y por lo que se refiere a la reducción del fraude, las medidas específicas más relevantes han sido: En relación al fraude con tarjetas: Despliegue de tarjetas chip (EMV) en las diferentes geografías en línea con el calendario establecido por la industria de medios de pago y aplicación de medidas de seguridad adicionales: Sustitución de tarjetas vulnerables por nuevas basadas en tecnología de autentificación avanzada (CDA) que reducen el riesgo de clonación al contar con algoritmos criptográficos más robustos y completos que los anteriores. Validación robusta de transacciones (Full Grade) en tarjetas, teniéndose en cuenta más controles y realizándose siempre online.;Contar con algoritmos criptográficos más robustos y completos que los anteriores, ¿qué desencadena?;Sustitución de tarjetas vulnerables por nuevas basadas en tecnología de autentificación avanzada (CDA) que reducen el riesgo de clonación
55;La entidad cuenta con un mapa de competencias que apoya los procesos y asegura que los profesionales tengan desarrollados comportamientos clave, como orientación a resultados, comunicación asertiva, gestión del cambio, desarrollo de personas, trabajo en equipo, liderazgo, organización y delegación La nueva Web de Personas de Bankinter es una herramienta clave de apoyo en el proceso de Gestión de Talento, pues facilita el acceso a la información y agiliza los procesos poniendo foco en la movilidad interna.;¿Por qué la nueva Web de Personas de Bankinter es una herramienta clave de apoyo en el proceso de Gestión de Talento?;facilita el acceso a la información y agiliza los procesos poniendo foco en la movilidad interna
56;Los costes unitarios de personal mejoraron en British Airways e Iberia debido al descenso de la retribución variable por no haber alcanzado los objetivos de desempeño y a las iniciativas de eficiencia, lo que compensó los incrementos de los salarios. En Aer Lingus los costes unitarios de personal evolucionaron de forma positiva con respecto al año pasado, gracias a las mejoras de la productividad. Sus AKO aumentaron un 9,6% con aproximadamente la misma plantilla media equivalente (PME) que el año pasado. Algunas de las mejoras de la eficiencia se consiguieron en la base de Dublín y mediante el uso de personal estacional. En el conjunto del Grupo, la productividad también aumentó un 5,1%, con mejoras en todas las aerolíneas con la excepción de Vueling. Con respecto al año pasado, y derechos de emisión 4.873 (19,9%) (25,8%);¿Qué consecuencia tuvo el descenso de la retribución variable y las iniciativas de eficiencia?;Los costes unitarios de personal mejoraron en British Airways e Iberia
57;Una parte muy importante del impacto social y ambiental de las empresas está relacionado directamente con la actividad de la cadena de suministro, situación aún más relevante para las grandes compañías. A nivel regulatorio se están intensificando los requerimientos de gestión y reporte relacionado con la cadena de suministro. Estos requerimientos están siendo también realizados por nuestros analistas e inversores. Además, desde Telefónica también somos proveedor de grandes clientes, que representan una parte importante de nuestra cifra de negocio, donde cada vez más la sostenibilidad es factor clave. Por eso trabajamos para tener una cadena de suministro responsable y sostenible (ver capítulo ‘Gestión de la cadena de suministro’).;¿Cuál es el impulso que lleva a que trabajen para tener una cadena de suministro responsable y sostenible (ver capítulo ‘Gestión de la cadena de suministro’)?;desde Telefónica también somos proveedor de grandes clientes, que representan una parte importante de nuestra cifra de negocio, donde cada vez más la sostenibilidad es factor clave
58;De forma complementaria al enfoque regulatorio, el modelo de capital económico de Santander incluye en su medición todos los riesgos significativos en los que incurre el Grupo en su operativa, por lo que considera riesgos como concentración, interés estructural, negocio, pensiones y otros que están fuera del ámbito del denominado Pilar 1 regulatorio.;¿Cuál es la causa de que el modelo de capital económico de Santander considere riesgos como concentración, interés estructural, negocio, pensiones y otros que están fuera del ámbito del denominado Pilar 1 regulatorio?;De forma complementaria al enfoque regulatorio, el modelo de capital económico de Santander incluye en su medición todos los riesgos significativos en los que incurre el Grupo en su operativa
59;Los derechos otorgados el 6 de marzo de 2013 fueron verificados al final del periodo de desempeño y como resultado se consolidó el 100% de los mismos, tal y como se detalla en este informe en la sección de Resultados de la Retribución Variable.;El hecho de que los derechos otorgados el 6 de marzo de 2013 hayan sido verificados al final del periodo de desempeño, ¿qué ha propiciado?;se consolidó el 100% de los mismos
60;En Argentina, el beneficio crece por encima del 20%, gracias a los progresos en la nueva estrategia comercial y al plan de expansión, que tuvieron su traducción en incrementos elevados del margen de intereses y de las comisiones.;¿A qué se debe el crecimiento mayor al 20% que se ha producido en Argentina?;a los progresos en la nueva estrategia comercial y al plan de expansión, que tuvieron su traducción en incrementos elevados del margen de intereses y de las comisiones
61;"Queremos garantizar que todas las personas puedan acceder a las ventajas de la transformación digital, sin dejar a nadie atrás. No solo ""Elegimos Todo"" sino que ""Elegimos a Todos"". Somos conscientes del potencial de las nuevas tecnologías para mejorar la vida de millones de personas con discapacidad y, por ello, desarrollamos el proyecto ""Telefónica Accesible"", que incorpora la accesibilidad como un elemento transversal a toda la Compañía.";¿Cuál es el fruto de tener consciencia del potencial de las nuevas tecnologías para mejorar la vida de millones de personas con discapacidad?;"desarrollamos el proyecto ""Telefónica Accesible"", que incorpora la accesibilidad como un elemento transversal a toda la Compañía"
62;La integración de la red de BMN ha permitido abrir tres nuevas oficinas de Bankia Banca Privada en sus zonas de influencia: Murcia, Granada y Palma de Mallorca.;La integración de la red de BMN, ¿qué ha facilitado?;ha permitido abrir tres nuevas oficinas de Bankia Banca Privada en sus zonas de influencia: Murcia, Granada y Palma de Mallorca
63;La amplia gama de tecnologías aumenta las posibilidades de negocio, puesto que la faculta para fabricar más tipologías de producto, permite focalizar las inversiones en la tecnología ganadora en cada momento, y aporta mayor valor añadido al cliente, que selecciona la solución óptima sin tener que contactar con diferentes suministradores y equipos de desarrollo.;¿Por qué motivo la amplia gama de tecnologías aumenta las posibilidades de negocio?;la faculta para fabricar más tipologías de producto, permite focalizar las inversiones en la tecnología ganadora en cada momento, y aporta mayor valor añadido al cliente, que selecciona la solución óptima sin tener que contactar con diferentes suministradores y equipos de desarrollo
64;Para Grupo DIA, la franquicia se enmarca dentro de la estrategia de crecimiento orgánico, por lo que la relación y comunicación continua con sus franquiciados resulta capital para alcanzar la excelencia en el modelo. La compañía entiende a los franquiciados como los mejores embajadores de su marca, que aportan un conocimiento muy valioso y eficiente para gestionar el modelo de tiendas de proximidad que propone.;¿Qué supone para el Grupo DIA que la franquicia se enmarque dentro de la estrategia de crecimiento orgánico?;la relación y comunicación continua con sus franquiciados resulta capital para alcanzar la excelencia en el modelo
65;La mayor parte de los activos están denominados en la propia divisa del país, por lo que no tienen restricciones para su utilización, si bien existen en la mayor parte de las geografías restricciones regulatorias que limitan la actividad entre entidades relacionadas.;¿Qué explica la ausencia de restricciones para la utilización de los activos?;La mayor parte de los activos están denominados en la propia divisa del país
66;Gracias al esfuerzo realizado en los últimos años para transformar nuestras redes y sistemas de soporte operativo y de negocio, desde Telefónica ponemos foco para cumplir con las expectativas de nuestros clientes.;¿A qué se debe que Telefónica haya conseguido cumplir con las expectativas de sus clientes?;al esfuerzo realizado en los últimos años para transformar nuestras redes y sistemas de soporte operativo y de negocio
